"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1","MISSION BL","0.06682098","Class III","BERYL ST","WILBUR AV","1","SS-018496","SS-018496"
"2","LA JOLLA SHORES DR","0.39652264","Class III","LA JOLLA SHORES LN","HORIZON WY","1","SS-015617","SS-015617"
"3","06TH AV","0.06865996","Class III","BEECH ST","CEDAR ST","3","SS-000217",""
"4","K ST","0.05227268","Class III","05TH AV","06TH AV","3","SS-014811",""
"5","MARKET ST","0.06252350","Class II","RAVEN ST","41ST ST","9","SS-017619","SS-017619"
"6","BRUNSWICK AV","0.05657971","Class III","COTTAGE AV","BIRCHWOOD ST","7","SS-005071","SS-005071"
"7","CARMEL COUNTRY RD","0.35226332","Class II","DERRYDOWN WY","CLOVERHURST WY","1","SS-006372","SS-006372"
"8","BARNETT AV","0.02882586","Class II","PACIFIC HY SB ON RA","PACIFIC HY NB OFF RA","2","SS-003587",""
"9","OLD CARMEL VALLEY RD","0.09355655","Class II","SANDOWN WY","MILL CREEK RD","1","SS-031271","SS-031271"
"10","SWIFT AV","0.07085388","Class II","LANDIS ST","WIGHTMAN ST","9","SS-026019","SS-026019"
"11","MONTEZUMA RD","0.07400721","Class II","CAMPANILE DR","MONTEZUMA PL","9","SS-018906","SS-018906"
"12","BEECH ST","0.04897241","Class IV (Two-Way)","03RD AV","04TH AV","3","SS-003868",""
"13","LA JOLLA SHORES DR","0.05391556","Class III","INYAHA LN","LA JOLLA FARMS RD","1","SS-015603","SS-015603"
"14","PACIFIC HY SB OFF RA","0.16876528","Class II","PACIFIC HY","PACIFIC HY SB ON RA","2","SS-020952","SS-020952"
"15","MONROE AV BRIDGE","0.05389005","Class I","MONROE AV","TERRACE DR","9","No Segment ID","No IAMFLOC ID"
"16","CHELSEA AV","0.02812304","Class III","DOLPHIN PL","ABALONE PL","1","SS-007058","SS-007058"
"17","TROJAN AV","0.02166265","Class III","54TH ST","54TH PL","9","SS-026867","SS-026867"
"18","MARKET ST","0.25873847","Class II","UVAS ST","EUCLID AV","4","SS-017621","SS-017621"
"19","CARMEL CREEK RD","0.24430663","Class II","CARMEL MTN RD","MAPLE RIDGE","1","SS-006386","SS-006386"
"20","MONTEZUMA RD","0.19334508","Class II","54TH ST","55TH ST","9","SS-018918","SS-018918"
"21","IMPERIAL AV","0.19811048","Class II","ESCUELA ST","49TH ST","4","SS-014051","SS-014051"
"22","OCEAN FRONT WK","0.03487369","Class I","ISTHMUS CT","JAMAICA CT","2","SS-032017","SS-032017"
"23","MIRA MESA BL","0.18428176","Class II","MARBURY AV","RICKERT RD","6","SS-018367",""
"24","CARLTON OAKS DR","0.00479559","Class III","CITY BOUNDARY","WEST HILLS PY","7","No Segment ID","No IAMFLOC ID"
"25","CARMEL MTN RD","0.25689770","Class II","SUNDEVIL WY","PASEO MONTALBAN","5","SS-006422","SS-006422"
"26","CROWN POINT DR","0.10812936","Class II","EDEN DR","LA CIMA DR","1","SS-008313","SS-008313"
"27","SUNSET CLIFFS BL","0.14419671","Class III","MONACO ST","HILL ST","2","SS-025885","SS-025885"
"28","30TH ST","0.07646633","Class IV (One-Way)","NORTH PARK WY","UNIVERSITY AV","3","SS-000658",""
"29","TURQUOISE ST","0.05306521","Class III","LA JOLLA BL","END","1","SS-026942","SS-026942"
"30","GENESEE AV","0.09741951","Class II","WHITNEY ST","OSLER ST","7","SS-012014",""
"31","GOLFCREST DR","0.33787136","Class II","MONTE VERDE DR","RUANE ST","7","SS-012389","SS-012389"
"32","VOLTAIRE ST","0.12348719","Class III","EBERS ST","SUNSET CLIFFS BL","2","SS-028128","SS-028128"
"33","SCRIPPS LAKE DR","0.05045523","Class III","MIRA LAGO TR","SUNSET RIDGE DR","5","SS-024521","SS-024521"
"34","ORANGE AV","0.05937745","Class III","WILSON AV","36TH ST","9","SS-020607","SS-020607"
"35","GILMAN DR","0.03799259","Class II","LA JOLLA VILLAGE DR","LA JOLLA VILLAGE DR RA","1","SS-012129","SS-012129"
"36","LA JOLLA BL","0.03181290","Class II","NAUTILUS ST","ALLEY","1","SS-015499","SS-015499"
"37","WEST POINT LOMA BL","0.06870833","Class III","MUIR AV","SPRAY ST","2","SS-028516",""
"38","PACIFIC BEACH DR","0.05503414","Class III","CROWN POINT DR","NOYES ST","1","SS-020854","SS-020854"
"39","PORTOBELO DR","0.27144576","Class II","CTE PLAYA CARTAGENA","CAM PLAYA BAJA","7","SS-022262","SS-022262"
"40","FULTON ST BRIDGE","0.10910231","Class I","CARDINAL LN","FULTON ST","7","No Segment ID","No IAMFLOC ID"
"41","54TH ST","0.08374007","Class II","EL CAJON BL","COLLWOOD BL","9","SS-001296",""
"42","CARMEL MTN RD","0.18847774","Class II","VEREDA MAR DEL CORAZ","CANTER HEIGHTS DR","1","SS-006432","SS-006432"
"43","J ST","0.05038806","Class IV (Two-Way)","07TH AV","08TH AV","3","SS-014371",""
"44","NIMITZ BL","0.07144674","Class II","SCOTT ST","ROSECRANS ST","2","SS-019940",""
"45","SCHOLARS DR","0.29292619","Class II","REVELLE COLLEGE DR","LA JOLLA SHORES DR","1","No Segment ID","No IAMFLOC ID"
"46","POPLAR ST","0.06093455","Class II","COLUMBINE ST","HEATHER ST","9","SS-022224","SS-022224"
"47","SPRING CANYON RD","0.16737066","Class II","SUNSET RIDGE DR","BLUE CYPRESS DR","5","SS-025399","SS-025399"
"48","SANTO RD","0.09795596","Class II","EL COMAL DR","PORTOBELO DR","7","SS-024310",""
"49","04TH AV","0.12518939","Class IV (One-Way)","PENNSYLVANIA AV","ROBINSON AV","3","SS-000109","SS-000109"
"50","CALLE CRISTOBAL","0.16357646","Class II","LORIRAE PL","CAM RUIZ","6","SS-005460","SS-005460"
"51","GALEWOOD ST","0.04917144","Class III","WARING RD","BRUNSWICK AV","7","SS-011773","SS-011773"
"52","NORTH TORREY PINES RD","0.01535025","Class II","CALLAN RD","N TORREY PINE NB OFF RA","1","SS-020118",""
"53","EL CAJON BL","0.03394110","Class II","MONTEZUMA RD","67TH ST","9","SS-009964",""
"54","MERCY RD","0.09633700","Class II","ALEMANIA RD","SCRIPPS POWAY PY","6","SS-018116",""
"55","CATALINA BL","0.06117585","Class III","WILCOX ST","JENNINGS ST","2","SS-031022","SS-031022"
"56","HORNBLEND ST","0.11047315","Class III","BAYARD ST","CASS ST","1","SS-013763","SS-013763"
"57","DAMON AV","0.01020987","Class III","BEGIN","SANTA FE ST","2","SS-008649","SS-008649"
"58","BLACK MTN RD","0.17578300","Class II","CARROLL CANYON RD","GOLD COAST DR","6","SS-004355",""
"59","MEADE AV","0.07199038","Class II","KANSAS ST","30TH ST","3","SS-017906",""
"60","ZION AV","0.04735457","Class III","ARCHWOOD AV","CRAWFORD ST","7","SS-029223",""
"61","UNIVERSITY AV","0.40198548","Class II","58TH ST","60TH ST","9","SS-027173",""
"62","FRIARS RD","0.10872382","Class IV (Two-Way)","GOSHEN ST","GAINES ST","3","SS-011498","SS-011498"
"63","ROSELLE ST","0.08043304","Class II","SORRENTO VALLEY BL","DUNHILL ST","1","SS-023612",""
"64","ADAMS AV","0.06156032","Class III","IOWA ST","32ND ST","9","SS-001709",""
"65","RUFFIN RD","0.18457615","Class II","LIGHTWAVE AV","CLAIREMONT MESA BL","6","SS-023788","SS-023788"
"66","MONTEZUMA RD","0.09761143","Class II","COLLWOOD BL","YERBA SANTA DR","9","SS-018910","SS-018910"
"67","I-805 BIKE PATH","0.68607884","Class I","CLAIREMONT MESA BL","END","2","SA-002933","SS-035661"
"68","MARKET ST","0.03069117","Class III","QUAIL ST","WHITMORE ST","9","SS-017596",""
"69","COAST SOUTH BL","0.04879238","Class III","COAST BL","CUVIER ST","1","SS-007460","SS-007460"
"70","GARDEN LN","0.03144168","Class III","CATALINA RD","SAVOY ST","2","SS-011839","SS-011839"
"71","CAM DEL SUR","0.48586871","Class II","CERRO DEL SUR","DEL SUR CT","5","SS-031968","SS-031968"
"72","14TH ST","0.07462119","Class III","ISLAND AV","MARKET ST","3","SS-000377",""
"73","CYPRESS CANYON RD","0.24559362","Class II","BLUE CYPRESS DR","ALDERHILL TR","5","SS-008526","SS-008526"
"74","W UNIVERSITY AV","0.07007580","Class III","BRANT ST","DOVE ST","3","SS-030045","SS-030045"
"75","CARROLL RD","0.04366593","Class III","TERMAN CT","PRODUCTION AV","6","SS-006547","SS-006547"
"76","JACKSON DR","0.11567196","Class II","NAVAJO RD","BIRCHCREEK RD","7","SS-014431","SS-014431"
"77","54TH ST","0.12029871","Class II","BILOXI ST","NUTMEG ST","4","SS-001305","SS-001305"
"78","TRIAS ST","0.06361871","Class III","HICKORY ST","FORT STOCKTON DR","3","SS-026822",""
"79","CARROLL CANYON RD","0.21353167","Class II","BUSINESS ACCESS RD","SCRANTON RD","1","SS-032720",""
"80","GENESEE AV","0.16971766","Class II","EXECUTIVE DR","EASTGATE ML","6","SS-011995",""
"81","GENESEE AV","0.04811199","Class III","BANNOCK AV","MANITOU WY","2","SS-012006","SS-012006"
"82","W LAUREL ST","0.04668389","Class III","COLUMBIA ST","INDIA ST","2","SS-029889","SS-029889"
"83","VIA VALARTA","0.09280609","Class II","VIA PLAYA DE CORTES","CAM PLAYA NORTE","7","SS-027921","SS-027921"
"84","SPECTRUM CENTER BL","0.24020509","Class II","OVERLAND AV","RUFFIN RD","6","SS-030573","SS-030573"
"85","CAM DEL RIO NORTH","0.75689704","Class III","MISSION CITY PY","WARD RD","9","SS-005772","SS-005772"
"86","BALBOA AV","0.10303108","Class II","RUFFNER ST","CONVOY ST","6","SS-003395",""
"87","MURRAY RIDGE RD","0.15755509","Class II","CONVERSE AV","MISSION CENTER RD","7","SS-019531","SS-019531"
"88","VOLTAIRE ST","0.12204823","Class III","CABLE ST","BACON ST","2","SS-028126","SS-028126"
"89","NORTHVIEW LN","0.13941458","Class II","NORTHPOINT DR","END","1","No Segment ID","No IAMFLOC ID"
"90","ROSE CANYON BIKE PATH","0.32485303","Class I","BEGIN","SR-52 WB","2","SS-032360","SS-032360"
"91","EL CAJON BL","0.06084536","Class III","38TH ST","39TH ST","9","SS-010016",""
"92","ROSECRANS ST","0.04912561","Class II","HOMER ST","IBSEN ST","2","SS-023545",""
"93","CARMEL MTN RD","0.16281770","Class II","SENDA LUNA LLENA","SENDA MAR DE PONDERO","1","SS-006436","SS-006436"
"94","LA JOLLA MESA DR","0.11959578","Class II","LINDA ROSA AV","LAMPLIGHT DR","1","SS-015564","SS-015564"
"95","NIMITZ BL","0.18279522","Class II","NORTH HARBOR DR","SHAFTER ST","2","SS-019942",""
"96","ORANGE AV","0.06194293","Class III","45TH ST","CHAMOUNE AV","9","SS-020621","SS-020621"
"97","MEADE AV","0.07180136","Class II","OREGON ST","IDAHO ST","3","SS-017903",""
"98","NORTH TORREY PINES RD","0.22669999","Class IV (One-Way)","TORREY PINES SCENIC DR","GENESEE AV","1","SS-020130",""
"99","POMERADO RD","0.19474012","Class II","OAKS NORTH DR","BODEGA RD","5","SS-022202","SS-022202"
"100","CHATSWORTH BL","0.10834940","Class III","ZOLA ST","ALCOTT ST","2","SS-007015","SS-007015"
"101","PENASQUITOS DR","0.13356478","Class II","JANAL WY","PENASQUITOS CT","5","SS-021577","SS-021577"
"102","SUNSET CLIFFS BL RA","0.09348815","Class II","I-8 EB ON RA","I-8 WB OFF RA","2","SS-025915",""
"103","FORT STOCKTON DR","0.06419511","Class III","ALLEN RD","PINE ST","3","SS-011339",""
"104","CRAWFORD ST","0.05290050","Class III","TOBEY ST","VANDEVER AV","7","SS-008204","SS-008204"
"105","RUFFIN RD","0.22416187","Class II","CALLE FORTUNADA","SKY PARK CT","7","SS-023782","SS-023782"
"106","14TH ST","0.07196993","Class III","G ST","F ST","3","SS-000375",""
"107","NORTH TORREY PINES RD","0.08264896","Class II","GENESEE AV","NORTH TORREY PINES CT","1","SS-020123","SS-020123"
"108","WEST OCEAN AIR DR","0.23842366","Class II","CALLE MAR DE MARIPOS","VIA MAR DE DELFINAS","1","SS-028501","SS-028501"
"109","ROSECRANS ST","0.22158826","Class II","QUALTROUGH ST","KONA WY","2","SS-023598","SS-023598"
"110","GOLD COAST DR","0.06171454","Class III","AMBASSADOR AV","CAM RUIZ","6","SS-012317",""
"111","MEADE AV","0.06177246","Class II","41ST ST","MARLBOROUGH AV","9","SS-017922",""
"112","MARKET ST","0.15974462","Class IV (One-Way)","UVAS ST","EUCLID AV","4","SS-017621","SS-017621"
"113","MADISON AV","0.07176101","Class II","MISSISSIPPI ST","LOUISIANA ST","3","SS-017143",""
"114","EL AMIGO RD","0.21097393","Class III","CONDESA DR","CREST WY","1","SS-009946","SS-009946"
"115","30TH ST","0.07214101","Class III","BROADWAY","C ST","3","SS-000695",""
"116","GENESEE AV","0.17958486","Class II","DECORO ST","NOBEL DR","6","SS-011998","SS-011998"
"117","MEADE AV","0.06270006","Class II","COPELAND AV","VAN DYKE AV","9","SS-017925",""
"118","VISTA SORRENTO PY","0.42851160","Class II","I-805 NB OFF RA","DIRECTORS PL","6","SS-028085","SS-028085"
"119","COLLWOOD BL","0.63143928","Class II","MONROE AV","COLLWOOD WY","9","SS-007652",""
"120","06TH AV","0.00872934","Class III","BALBOA DR","UPAS ST","3","SS-000200",""
"121","MIRA MESA BL","0.18400872","Class II","DABNEY DR","PARKDALE AV","6","SS-018375","SS-018375"
"122","LA JOLLA HERMOSA AV","0.25655878","Class II","BEGIN","COLIMA ST","1","SS-015552",""
"123","05TH AV","0.06845613","Class IV (One-Way)","THORN ST","UPAS ST","3","SS-000157",""
"124","FLANDERS DR","0.05455210","Class III","CHEVIOT CT","DARDEN RD","6","SS-011187","SS-011187"
"125","VESTA ST","0.14536857","Class III","BIRCH ST","DALBERGIA ST","8","SS-027537","SS-027537"
"126","30TH ST","0.06847458","Class IV (One-Way)","KALMIA ST","LAUREL ST","3","SS-000676",""
"127","GOLD COAST DR","0.04833254","Class III","BAYWOOD LN","BROOKHURST LN","6","SS-012319",""
"128","CATALINA BL","0.13760678","Class III","CHATSWORTH BL","ORCHARD AV","2","SS-006683","SS-006683"
"129","55TH ST","0.06879330","Class II","MONTEZUMA RD","LINDO PASEO","9","SS-001349","SS-001349"
"130","MARKET ST","0.03130825","Class III","WHITMORE ST","40TH ST","9","SS-017597","SS-017597"
"131","LA JOLLA MESA DR","0.16941968","Class II","COTTONTAIL LN","LA JOLLA SCENIC S DR","1","SS-015559",""
"132","STONECREST BL","0.19390413","Class II","DALEY CENTER DR","MURPHY CANYON RD","7","SS-025640",""
"133","04TH AV","0.07253786","Class IV (One-Way)","REDWOOD ST","SPRUCE ST","3","SS-000115","SS-000115"
"134","FERN ST","0.07121846","Class III","GRAPE ST","HAWTHORN ST","3","SS-011061",""
"135","SR56 BIKE PATH","1.43200847","Class I","CARMEL VALLEY RD","RANCH SANTA FE FARM RD","1","SA-002880","SS-035609"
"136","LA CUENTA DR","0.05627577","Class II","CARIUTO CT","CARAVELLE PL","7","SS-015465","SS-015465"
"137","ORANGE AV","0.03459758","Class III","MARLBOROUGH AV","42ND ST","9","SS-020598","SS-020598"
"138","GENESEE AV","0.09650670","Class II","WHITNEY ST","OSLER ST","7","SS-012014",""
"139","GENESEE AV","0.15153417","Class II","MT ALIFAN DR","BALBOA AV","2","SS-012011",""
"140","POMERADO RD","0.24323592","Class II","PASEO DEL VERANO NOR","BERNARDO TRAILS DR","5","SS-022185","SS-022185"
"141","CALLE CRISTOBAL","0.35670129","Class II","CAM PROPICO","BRENNER SPRINGS WY","6","SS-005472",""
"142","POMERADO RD","0.33443825","Class II","AVNDA LA VALENCIA","RIOS RD","5","SS-022207","SS-022207"
"143","CAM SANTA FE","0.45980258","Class II","BEGIN","FLANDERS DR","6","SS-005916",""
"144","GENESEE AV","0.34467039","Class II","SCIENCE CENTER DR","JOHN JAY HOPKINS DR","1","SS-012018","SS-012018"
"145","S 38TH ST","0.06360254","Class III","ALPHA ST","BETA ST","8","SS-029450","SS-029450"
"146","HORNBLEND ST","0.10621883","Class III","MORRELL ST","NOYES ST","1","SS-013752","SS-013752"
"147","LA JOLLA VILLAGE DR","0.07980844","Class II","NORTH TORREY PINES RD","LA JOLLA SCENIC WY","1","SS-015634","SS-015634"
"148","SUNSET BL","0.03447021","Class II","ST JAMES PL","ALAMEDA DR","3","SS-025871",""
"149","POTOMAC ST","0.22549687","Class II","SEA BREEZE DR","CALLE SERENA","4","SS-022295",""
"150","CAM DEL NORTE","0.35672030","Class II","WORLD TRADE DR","CARMEL MTN RD","5","SS-005758",""
"151","HOTEL CIRCLE SOUTH","0.50475551","Class II","CAM DE LA REINA","HOTEL CIRCLE CT","3","SS-013796","SS-013796"
"152","GRAND AV","0.10836019","Class III","GRESHAM ST","HAINES ST","1","SS-012496",""
"153","GLENROY ST","0.12174144","Class III","GREENBRIER AV","IRWIN AV","7","SS-012256","SS-012256"
"154","BEECH ST","0.05265262","Class IV (Two-Way)","01ST AV","FRONT ST","3","SS-029750",""
"155","RANCHO PENASQUITOS BL","0.18249478","Class III","CALLE DE LAS ROSAS","AZUAGA ST","5","SS-022721","SS-022721"
"156","LAMONT ST","0.06659995","Class II","BERYL ST","WILBUR AV","1","SS-015921","SS-015921"
"157","RUFFIN RD","0.23060126","Class II","SPECTRUM CENTER BL","LIGHTWAVE AV","6","SS-030565","SS-030565"
"158","APPLETON ST","0.04451117","Class III","CAYWOOD ST","OVID PL","2","SS-002565","SS-002565"
"159","FRIARS RD","0.33934774","Class II","FRIARS RD RA","RANCHO MISSION RD","9","SS-011504",""
"160","ADAMS AV","0.06137422","Class III","MANSFIELD ST","35TH ST","9","SS-001717",""
"161","ANTIGUA BL","0.05334665","Class II","AVNDA PLAYA VERACRUZ","CAM PLAYA PORTOFINO","7","SS-002507","SS-002507"
"162","LAMONT ST","0.04682009","Class III","WILBUR AV","MALDEN ST","1","SS-015920","SS-015920"
"163","ALLEY","0.05996068","Class III","AGATE ST","ARCHER ST","1","SA-002599",""
"164","PACIFIC HY","0.07855760","Class II","FRIARS RD","ANNA AV","7","SS-020895","SS-020895"
"165","GENESEE AV","0.12633413","Class III","CARDINAL RD","RICHLAND ST","7","SS-012032","SS-012032"
"166","LANDIS ST","0.06250183","Class III","GRIM AV","31ST ST","3","SS-016014","SS-016014"
"167","A ST","0.05340944","Class III","01ST AV","02ND AV","3","SS-001560",""
"168","UTAH ST","0.07273107","Class III","GUNN ST","NORTH PARK WY","3","SS-027289",""
"169","ORANGE AV","0.01553230","Class III","36TH ST","36TH ST","9","SS-020588","SS-020588"
"170","IMPERIAL AV","0.23153152","Class II","MESSINA WY","END","4","SS-014047",""
"171","LA JOLLA SHORES DR","0.06214113","Class III","LA JOLLA FARMS RD","NORTH TORREY PINES RD","1","SS-015602","SS-015602"
"172","FRIARS RD","0.10325479","Class II","FRIARS RD RA","RIO BONITO WY","7","SS-011492","SS-011492"
"173","HORNBLEND ST","0.10974031","Class III","JEWELL ST","KENDALL ST","1","SS-013755",""
"174","TROJAN AV","0.06698996","Class III","58TH ST","WEST OVERLOOK DR","9","SS-026864",""
"175","MURRAY RIDGE RD","0.08506934","Class II","MACAWA AV","SEDERSTROM WY","7","SS-019535","SS-019535"
"176","SEMILLON BL","0.11486850","Class II","OAKBEND DR","CHARBONO ST","5","SS-024739","SS-024739"
"177","CAM RUIZ","0.22704748","Class II","ZAPATA AV","AQUARIUS DR","6","SS-005895","SS-005895"
"178","MERCY RD","0.35638815","Class II","KIKA CT","ALEMANIA RD","6","SS-018115",""
"179","CLAIREMONT MESA BL","0.21045679","Class II","CLAIREMONT DR","DUBOIS DR","2","SS-007283","SS-007283"
"180","30TH ST","0.16846687","Class II","CEDAR ST","DATE ST","3","SS-000683",""
"181","REYNARD WY","0.32567017","Class II","ARROYO DR","EAGLE ST","3","SS-023104","SS-023104"
"182","55TH ST","0.06856727","Class II","MONTEZUMA RD","LINDO PASEO","9","SS-001349","SS-001349"
"183","J ST","0.05398559","Class IV (Two-Way)","PARK BL","13TH ST","3","SS-014376",""
"184","CALLE CRISTOBAL","0.10555147","Class II","ACAMA CT","PRAIRIE WOOD DR","6","SS-005464","SS-005464"
"185","BROADWAY","0.04972594","Class III","PARK BL","13TH ST","3","SS-004935",""
"186","N HARBOR DR RA","0.05432327","Class III","NORTH HARBOR DR","SCOTT ST","2","SS-029285","SS-029285"
"187","CLAIREMONT MESA BL","0.24286054","Class III","RUFFIN RD","CHESAPEAKE DR","6","SS-007294","SS-007294"
"188","CLAIREMONT DR","0.07009894","Class II","GALVESTON ST","HARTFORD CT","2","SS-007275","SS-007275"
"189","CORNISH DR","0.03310801","Class III","CARMELO ST","ALGE CIRAS ST","2","SS-007970","SS-007970"
"190","PACIFIC HY","0.06988679","Class III","W F ST","W E ST","3","SS-020921","SS-020921"
"191","UPAS ST","0.04234932","Class IV (One-Way)","30TH ST","30TH ST","3","SS-027259",""
"192","W UNIVERSITY AV","0.05265187","Class III","DOVE ST","EAGLE ST","3","SS-030046","SS-030046"
"193","FRIARS RD","0.33750979","Class II","NAPA ST","COLUSA ST","7","SS-011513","SS-011513"
"194","MEADE AV","0.07272824","Class II","ALABAMA ST","MISSISSIPPI ST","3","SS-017897",""
"195","FRIARS RD","0.11163630","Class II","GOSHEN ST","GAINES ST","7","SS-011498","SS-011498"
"196","MAST BL","0.18206488","Class II","SR-52 EB OFF RA","SYCAMORE LANDFILL RD","7","SS-017754","SS-017754"
"197","BEAUMONT AV","0.19831907","Class III","CAM DE LA COSTA","LA CANADA","1","SS-003827","SS-003827"
"198","MIRA MESA BL","0.38489218","Class II","PACIFIC HEIGHTS BL","HUENNEKENS ST","6","SS-018385",""
"199","NORTH MISSION BAY DR","0.27072182","Class III","DE ANZA RD","MISSION BAY DR","2","SS-020089",""
"200","SR 52 BIKE PATH","4.77492360","Class I","SANTO RD","MAST BL","7","No Segment ID","No IAMFLOC ID"
"201","JACKSON DR","0.10870265","Class II","HYDE PARK DR","NAVAJO RD","7","SS-014432","SS-014432"
"202","UNIVERSITY AV","0.13049371","Class II","VERMONT ST","RICHMOND ST","3","SS-027134",""
"203","SCRIPPS LAKE DR","0.04605322","Class III","MTN GLEN TR","MESA MADERA DR","5","SS-024526","SS-024526"
"204","B ST","0.05044827","Class III","06TH AV","07TH AV","3","SS-003292",""
"205","ADAMS AV","0.06617600","Class III","LOUISIANA ST","TEXAS ST","3","SS-001734",""
"206","SCRIPPS POWAY PY","0.31266588","Class II","SUNSHINE PEAK CT","ANGELIQUE ST","5","SS-024536",""
"207","LA JOLLA SHORES DR","0.02168125","Class III","POOLE ST","INYAHA LN","1","SS-015604","SS-015604"
"208","BLACK MTN RD","0.10803624","Class II","CARMEL MTN RD","DEFREITAS AV","5","SS-004336","SS-004336"
"209","PACIFIC HY","0.13069860","Class III","PACIFIC HY SB ON RA","W WASHINGTON ST","2","SS-020930","SS-020930"
"210","BLACK MTN RD","0.08144728","Class II","GEMINI AV","GALVIN AV","6","SS-004352","SS-004352"
"211","MISSION BL","0.06928628","Class III","LORING ST","OPAL ST","1","SS-018494","SS-018494"
"212","GENESEE AV","0.16103422","Class II","RADCLIFFE LN","GOVERNOR DR","6","SS-012003","SS-012003"
"213","MURRAY RIDGE RD","0.16170283","Class II","CONVERSE AV","MISSION CENTER RD","7","SS-019531","SS-019531"
"214","HILLERY DR","0.13854277","Class II","WESTVIEW PY","END","6","SS-030564",""
"215","CARMEL MTN RD","0.26271169","Class II","VIA MAR DE BALLENAS","SENDA LUNA LLENA","1","SS-006438","SS-006438"
"216","NEPTUNE PL","0.03507930","Class III","PLAYA DEL NORTE ST","BONAIR ST","1","SS-019762","SS-019762"
"217","COLLEGE AV","0.05784365","Class II","UNIVERSITY AV","MALCOLM DR","9","SS-007570",""
"218","W UNIVERSITY AV","0.07007580","Class III","BRANT ST","DOVE ST","3","SS-030045","SS-030045"
"219","CONGRESS ST","0.06780328","Class III","TWIGGS ST","MASON ST","2","SS-007796","SS-007796"
"220","FENTON PY","0.13021931","Class II","FRIARS RD","RIO SAN DIEGO DR","9","SS-030672","SS-030672"
"221","06TH AV","0.12297823","Class III","EVANS PL","ROBINSON AV","3","SS-000196",""
"222","MONTEZUMA RD","0.04047226","Class II","EAST FALLS VIEW DR","63RD ST","9","SS-018908",""
"223","MISSION BL","0.06338504","Class III","TOURMALINE ST","SAPPHIRE ST","1","SS-018492","SS-018492"
"224","B ST","0.12065705","Class II","28TH ST","29TH ST","3","SS-003316",""
"225","ISLAND AV","0.04829691","Class II","17TH ST","19TH ST","8","SS-014306","SS-014306"
"226","ORANGE AV","0.06385981","Class III","35TH ST","WILSON AV","9","SS-020586","SS-020586"
"227","SKYLINE DR","0.04660980","Class II","DETROIT PL","S 65TH ST","4","SS-025099","SS-025099"
"228","EBERS ST","0.05282357","Class III","BRIGHTON AV","LONG BRANCH AV","2","SS-009846","SS-009846"
"229","30TH ST","0.07411672","Class IV (One-Way)","NORTH PARK WY","UNIVERSITY AV","3","SS-000658",""
"230","CARMEL COUNTRY RD","0.23367857","Class II","CARMEL CANYON RD","CARMEL MISSION RD","1","SS-006369","SS-006369"
"231","GIRARD AV","0.21816829","Class III","GENTER ST","PEARL ST","1","SS-012161",""
"232","QUALCOMM WY","0.02221217","Class II","FRIARS RD","FRIARS RD RA","7","SS-022467",""
"233","POWAY RD","0.32718425","Class II","SABRE SPRINGS PY","CREEKVIEW DR","5","SS-022310",""
"234","SCRIPPS LAKE DR","0.20053472","Class II","RED CEDAR DR","ALDERBROOK DR","5","SS-024531","SS-024531"
"235","B ST","0.04822916","Class III","05TH AV","06TH AV","3","SS-003291","SS-003291"
"236","MOREHOUSE DR","0.47659722","Class II","MIRA MESA BL","MOREHOUSE DR","6","SS-024504","SS-024504"
"237","CARMEL MTN RD","0.22308477","Class II","TWIN TRAILS DR","SUNDANCE AV","5","SS-006420","SS-006420"
"238","CLEVELAND AV","0.13231631","Class II","BLAINE AV","LINCOLN AV","3","SS-007380",""
"239","WEST BERNARDO DR","0.18127886","Class II","BERNARDO CENTER DR","TECHNOLOGY DR","5","SS-028450",""
"240","MEADE AV","0.02784349","Class II","37TH ST","37TH ST","9","SS-017881",""
"241","LA JOLLA MESA DR","0.07206591","Class II","DEER HILL CT","COTTONTAIL LN","1","SS-015560",""
"242","TWIN TRAILS DR","0.04110937","Class III","OVIEDO ST","RENATO ST","5","SS-027006",""
"243","HOWARD AV","0.07159214","Class III","ALABAMA ST","MISSISSIPPI ST","3","SS-013811","SS-013811"
"244","SOLEDAD MTN RD","0.13278648","Class II","PACIFICA DR","PASEO MIRADA","1","SS-025190","SS-025190"
"245","UPAS ST","0.04234159","Class IV (One-Way)","30TH ST","30TH ST","3","SS-027259",""
"246","EL CAJON BL","0.12633086","Class III","69TH ST","70TH ST","9","SS-009961","SS-009961"
"247","VOLTAIRE ST","0.06944677","Class III","ABBOTT ST","WEST POINT LOMA BL","2","SS-028124","SS-028124"
"248","UNIVERSITY AV","0.14420588","Class II","60TH ST","COLLEGE AV","9","SS-027121",""
"249","J ST","0.05321972","Class IV (Two-Way)","10TH AV","11TH AV","3","SS-014375",""
"250","CATALINA BL","0.07096704","Class III","BERNICE DR","ATASCADERO DR","2","SS-006689","SS-006689"
"251","MISSION CENTER RD","0.19112846","Class II","HAZARD CENTER DR","MISSION CENTER CT","3","SS-018569","SS-018569"
"252","PASEO DEL SUR","0.10927980","Class II","HAALAND GLEN","BRISTOL RIDGE LN","5","SS-031843",""
"253","WEST POINT LOMA BL","0.09647767","Class IV (One-Way)","GROTON ST","CHAPMAN ST","2","SS-028513",""
"254","PORTOBELO DR","0.12273313","Class III","CTE PLAYA CARTAGENA","CAM PLAYA BAJA","7","SS-022262","SS-022262"
