"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1642","COLLEGE AV","0.63320577","Class II","ROCK PL","UNIVERSITY AV","9","SS-007571","SS-007571"
"1643","BLACK MTN RD","0.29255862","Class II","HILLERY DR","MIRA MESA BL","6","SS-004354","SS-004354"
"1644","NORTH TORREY PINES RD","0.02961154","Class II","N TORREY PINE NB OFF RA","N TORREY PINE SB OFF RA","1","SS-020117",""
"1645","CAM DEL NORTE","0.35410993","Class II","WORLD TRADE DR","CARMEL MTN RD","5","SS-005758",""
"1646","EL CAMINO REAL","0.18891164","Class II","DEL MAR HEIGHTS RD","QUARTER MILE DR","1","SS-010059","SS-010059"
"1647","SAN ANDRES DR","0.03627106","Class II","VIA DE LA VALLE","FLOWER HILL DR","1","SS-023976","SS-023976"
"1648","EL CAJON BL","0.05844736","Class III","39TH ST","40TH ST","9","SS-010017",""
"1649","HOTEL CIRCLE SOUTH","0.13555086","Class II","HOTEL CIRCLE CT","HOTEL CIRCLE NORTH","3","SS-013797",""
"1650","SPORTS ARENA BL","0.14301731","Class II","MIDWAY DR","ROSECRANS (FTG) ST","2","SS-023536",""
"1651","RONSON RD","0.04053028","Class II","SHAWLINE ST","CARDIN ST","6","SS-023487","SS-023487"
"1652","UNIVERSITY AV","0.14448081","Class II","60TH ST","COLLEGE AV","9","SS-027121",""
"1653","SORRENTO VALLEY BL","0.04680635","Class II","VISTA DEL AGUA WY","INDIGO BLOSSOM LN","6","SS-025256",""
"1654","I-5 BRIDGE","0.02408421","Class I","INDIA ST","KETTNER BL","2","No Segment ID","No IAMFLOC ID"
"1655","W A ST","0.05189522","Class III","INDIA ST","KETTNER BL","3","SS-029707",""
"1656","BEECH ST","0.04782897","Class IV (Two-Way)","COLUMBIA ST","INDIA ST","3","SS-029746",""
"1657","VIA DEL NORTE","0.05437715","Class III","LA JOLLA HERMOSA AV","BEAUMONT AV","1","SS-027708","SS-027708"
"1658","DEL MAR HEIGHTS RD","0.00900830","Class II","BOQUITA DR","MANGO DR","1","SS-008971","SS-008971"
"1659","BEAUMONT AV","0.12682960","Class III","LA CANADA","MIRA MONTE","1","SS-003826","SS-003826"
"1660","CAM SANTA FE","0.30752329","Class II","SUMMERS RIDGE RD","MIRATECH DR","6","SS-031448",""
