"objectid","2name","name","gis_acres","park_type","address","owner","source_id","source","source_dt","src_notes"
"755","MCAULIFFE SHARON CP","Mcauliffe Sharon Park","15.57467977","Local","7540 WINTERWOOD LN, 92126","City of San Diego","","City of San Diego","0516","Community Park"
"756","MCCAIN MP","Mccain Park","0.34289426","Local","3032 39TH ST, 92105","City of San Diego","","City of San Diego","0516","Mini Park"
"757","NEIGHBORHOOD 8 NP","Neighborhood 8 Park","19.75406297","Local","11900 Carmel Creek RD,92130","City of San Diego","","City of San Diego","0516","Neighborhood Park"
"758","CENTRUM NP","Centrum Park","2.16294263","Local","8650 SPECTRUM CENTER BLVD","City of San Diego","","City of San Diego","0516","Neighborhood Park"
"759","WARD CANYON NP","Ward Canyon Park","5.79301399","Local","4642 40TH ST, 92116","City of San Diego","","City of San Diego","0516","Neighborhood Park"
"760","GOLDEN HILL CP","Golden Hill Park","6.31569085","Local","2600 Golf Course Dr. 92102","City of San Diego","","City of San Diego","0516","Community Park"
"761","CHILDRENS PARK","Childrens Park","1.94017884","Local"," 155 W ISLAND AVE, 92101","City of San Diego","","City of San Diego","0516","Mini Park"
"762","SUN RIDGE VISTA MINI-PARK","Sun Ridge Vista Mini-Park","3.10012448","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"763","CARMEL VALLEY OS","Carmel Valley Open Space","3.16691388","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"764","34TH ST CANYON OS","34th St Canyon Open Space","0.62809170","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"765","TECOLOTE CANYON NATURAL OS PARK","Tecolote Canyon Natural Open Space Park","6.74540622","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"766","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","39.81669100","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"767","CARROLL CANYON OS","Carroll Canyon Open Space","1.54922168","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"768","34TH ST CANYON OS","34th St Canyon Open Space","0.34222025","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"769","CLEAR. SITE 645","Clear. Site 645","0.35099907","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"770","RANCHO MISSION CANYON OS","Rancho Mission Canyon Open Space","0.17117459","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"771","SCRIPPS MIRAMAR OS","Scripps Miramar Open Space","2.28824234","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"772","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","9.36705446","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"773","MISSION VALLEY HILLSIDES OS","Mission Valley Hillsides Open Space","0.36761219","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"774","CLEAR. SITE 762","Clear. Site 762","0.48038551","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"775","SWITZER OS","Switzer Open Space","0.24305153","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"776","TECOLOTE CANYON NATURAL OS PARK","Tecolote Canyon Natural Open Space Park","2.15800188","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"777","MISSION TRAILS OS","Mission Trails Open Space","4.56725281","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"778","ROSE CANYON OS","Rose Canyon Open Space","8.10714149","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"779","ENCANTO EXPRESSWAY OS","Encanto Expressway Open Space","0.14463408","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"780","CLEAR. SITE 571","Clear. Site 571","0.03525959","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"781","34TH ST CANYON OS","34th St Canyon Open Space","0.14084097","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"782","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","1.85078956","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"783","NAVAJO CANYON OS PARK","Navajo Canyon Open Space Park","0.47400649","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"784","OTAY MESA OS","Otay Mesa Open Space","2.51085199","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"785","MISSION TRAILS OS","Mission Trails Open Space","0.48676426","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"786","RANCHO MISSION CANYON OS","Rancho Mission Canyon Open Space","3.09317874","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"787","SCRIPPS MIRAMAR OS","Scripps Miramar Open Space","5.63043022","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"788","32ND ST CANYON OS","32nd St Canyon Open Space","0.28254746","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"789","TIERRASANTA OS","Tierrasanta Open Space","0.84595906","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"790","UPTOWN OS","Uptown Open Space","1.22510479","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"791","MISSION TRAILS OS","Mission Trails Open Space","18.81637791","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"792","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","3.59188456","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"793","SAN DIEGO RIVER PARK OS","San Diego River Park Open Space","2.34770788","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"794","ALBATROSS CANYON OS","Albatross Canyon Open Space","0.15227324","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"795","TIERRASANTA OS","Tierrasanta Open Space","8.16084348","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"796","SOUTH BAY TERRACES OS","South Bay Terraces Open Space","2.51420662","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"797","BLACK MOUNTAIN RANCH OS","Black Mountain Ranch Open Space","22.24906385","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"798","34TH ST CANYON OS","34th St Canyon Open Space","0.11028756","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"799","TIERRASANTA OS","Tierrasanta Open Space","18.70055534","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"800","KENSINGTON/COLLEGE OS","Kensington/College Open Space","4.17223567","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"801","TIERRASANTA OS","Tierrasanta Open Space","6.85677932","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
