objectid,Park,alias,park_type,Location,Zip Code
1057,Torrey Hills Os,Torrey Hills Open Space,Open Space, ,92130
1058,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1059,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1060,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1064,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1067,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1071,Valencia Canyon Os,Valencia Canyon Open Space,Open Space, ,91977
1072,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1075,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1076,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1077,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1078,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1079,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1080,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1081,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1084,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1086,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
1087,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1088,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1089,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
1090,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1093,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1096,Del Mar Mesa Mitigation,Del Mar Mesa Mitigation,Open Space, ,92130
1097,Del Mar Mesa Mitigation,Del Mar Mesa Mitigation,Open Space, ,92130
1098,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
1099,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1100,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1101,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1104,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1105,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1106,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1111,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1112,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1119,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1121,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1122,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1123,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1127,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
1129,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1131,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1133,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1134,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1135,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1136,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1138,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1141,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1142,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1147,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1149,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1150,Carmel Valley Cvrep,Carmel Valley Cvrep,Open Space, ,92130
1153,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1156,Eugene Place Os,Eugene Place Open Space,Open Space, ,92116
1159,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1161,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1163,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1164,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1166,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1167,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1168,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1169,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1170,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1173,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
1175,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1176,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
1177,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1178,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1182,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1186,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1187,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1190,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1194,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1195,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1197,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1198,Carmel Mountain Ranch Os,Carmel Mountain Ranch Open Space,Open Space, ,92128
1202,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1203,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1204,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1205,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1206,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1207,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1209,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1211,Sorrento Hills Os,Sorrento Hills Open Space,Open Space, ,92130
1212,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1214,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1217,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1218,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1227,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1228,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1232,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1236,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1240,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1241,Paradise Canyon Park,Paradise Canyon Park,Open Space, ,92114
1249,Mt Woodson Os,Mt Woodson Open Space,Open Space, ,92121
1250,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
1251,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1255,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1257,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1262,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1263,Old Trolley Barn Park,Old Trolley Barn Park,Open Space, ,92116
1265,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1269,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1270,Marian Bear Os Park,Marian Bear Open Space Park,Open Space, ,92117
1272,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
1274,Lopez Canyon Os,Lopez Canyon Open Space,Open Space, ,92121
1275,Del Cerro Os,Del Cerro Open Space,Open Space, ,92120
1277,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1278,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1280,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1281,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1282,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1284,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1287,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1291,South Bay Terraces Os,South Bay Terraces Open Space,Open Space, ,92139
1292,Del Mar Mesa Mitigation,Del Mar Mesa Mitigation,Open Space, ,92130
1295,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1296,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1298,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1300,Carmel Mission Park,Carmel Mission Park,Open Space, ,92130
1303,Ocean View Hills Os,Ocean View Hills Open Space,Open Space, ,92154
1304,South Bay Terraces Os,South Bay Terraces Open Space,Open Space, ,92139
1310,Navajo Canyon Os Park,Navajo Canyon Open Space Park,Open Space, ,92120
1312,Famosa Slough,Famosa Slough,Open Space, ,92107
1313,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1314,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1315,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1318,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1319,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1320,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1322,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1329,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
1330,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1331,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1333,Otay Mitigation Site,Otay Mitigation Site,Open Space, ,92154
1335,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1337,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1339,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1341,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1342,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1345,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1347,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1348,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1349,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1351,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1352,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1353,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1354,Tierrasanta Os,Tierrasanta Os,Open Space, ,92124
1355,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1356,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1357,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1358,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1359,Mission Trails Os,Mission Trails Os,Open Space, ,92120
1360,Mission Trails Os,Mission Trails Os,Open Space, ,92120
1362,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1363,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1364,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1365,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1367,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1368,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1370,Cypress Canyon Os,Cypress Canyon Open Space,Open Space, ,92131
1371,Navajo Canyon Os Park,Navajo Canyon Open Space Park,Open Space, ,92120
1373,Clear. Site 641,Clear. Site 641,Open Space, ,92105
1374,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1378,Fairbanks Ranch Country Club,Fairbanks Ranch Country Club,Open Space, ,92067
1380,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1382,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1387,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1391,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1393,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1395,Carmel Valley Cvrep,Carmel Valley Cvrep,Open Space, ,92130
1396,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1397,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1398,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1400,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1401,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1402,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
1404,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1406,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1412,Encanto Park,Encanto Park,Open Space, ,92114
1413,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1415,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1416,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1420,Del Mar Mesa Vernal Pool Os,Del Mar Mesa Vernal Pool Open Space,Open Space, ,92130
1421,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1422,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
1423,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1424,Eugene Place Os,Eugene Place Open Space,Open Space, ,92116
1425,South Bay Terraces Os,South Bay Terraces Open Space,Open Space, ,92139
1427,Del Mar Mesa Mitigation,Del Mar Mesa Mitigation,Open Space, ,92130
1428,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1431,Cypress Canyon Os,Cypress Canyon Open Space,Open Space, ,92131
1432,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1433,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
1434,Clear. Site 397,Clear. Site 397,Open Space, ,92108
1436,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1438,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1439,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1440,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1441,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1442,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1450,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1452,Clear. Site 535,Clear. Site 535,Open Space, ,92116
1454,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1458,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1459,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1464,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1465,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1466,Penasquitos Lagoon Os,Penasquitos Lagoon Open Space,Open Space, ,92121
1468,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1469,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1474,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1481,Salk Neighborhood Park & Joint Use Facility,Salk Neighborhood Park & Joint Use Facility,Local,"Flanders Dr. & Parkdale Av., Southwest Of",92126
1482,Fairbanks Country Club Os,Fairbanks Country Club Open Space,Open Space, ,92067
1484,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1487,Ludington Heights Os Park,Ludington Heights Open Space Park,Open Space, ,49431
1489,Sorrento Hills Os,Sorrento Hills Open Space,Open Space, ,92130
1492,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1496,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1502,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1507,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1508,Del Mar Mesa Mitigation,Del Mar Mesa Mitigation,Open Space, ,92130
1512,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1514,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1520,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1521,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1522,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1523,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1525,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1534,Navajo Canyon Os Park,Navajo Canyon Open Space Park,Open Space, ,92120
1535,Eugene Place Os,Eugene Place Open Space,Open Space, ,92116
1536,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1537,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1542,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1546,Talmadge Hillsides Os,Talmadge Hillsides Open Space,Open Space, ,92115
1550,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
1555,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1559,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1560,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1561,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1563,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1564,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
1565,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1566,Canyon View Park,Canyon View Park,Open Space, ,92131
1567,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1569,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1576,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1577,Navajo Canyon Os Park,Navajo Canyon Open Space Park,Open Space, ,92120
1579,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1581,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1582,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1585,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
1586,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1588,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1589,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1590,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
1591,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1593,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
1596,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1597,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1600,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1601,Carmel Mountain Ranch Os,Carmel Mountain Ranch Open Space,Open Space, ,92128
1602,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
1603,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1604,Maple Canyon Os,Maple Canyon Open Space,Open Space, ,92103
1606,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1609,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1611,Fairbanks Country Club Os,Fairbanks Country Club Open Space,Open Space, ,92067
1613,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1615,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1616,Rancho Mission Canyon Os,Rancho Mission Canyon Open Space,Open Space, ,92120
1619,Del Mar Mesa Mitigation,Del Mar Mesa Mitigation,Open Space, ,92130
1620,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1631,Encanto Park,Encanto Park,Open Space, ,92114
1635,Fairbanks Country Club Os,Fairbanks Country Club Open Space,Open Space, ,92067
1638,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1639,Sorrento Hills Os,Sorrento Hills Open Space,Open Space, ,92130
1643,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1649,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1652,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1653,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1656,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1657,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1658,Otay Mitigation Site,Otay Mitigation Site,Open Space, ,92154
1662,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1663,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1666,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1668,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1669,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1670,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1671,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1673,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
1674,Golden Hills Os,Golden Hills Open Space,Open Space, ,92102
1676,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1679,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1680,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1682,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1684,Penasquitos Lagoon Os,Penasquitos Lagoon Open Space,Open Space, ,92121
1685,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1688,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1689,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1690,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
1691,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1692,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1700,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1701,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1703,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1705,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1707,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1709,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1710,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1717,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1723,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1724,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1725,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1726,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1729,Lopez Canyon Os,Lopez Canyon Open Space,Open Space, ,92121
1730,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1734,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
1735,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1736,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1737,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1739,Carmel Valley Cvrep,Carmel Valley Cvrep,Open Space, ,92130
1740,Radio Canyon Extension Os,Radio Canyon Extension Open Space,Open Space, ,92114
1746,Carmel Mountain Ranch Os,Carmel Mountain Ranch Open Space,Open Space, ,92128
1747,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1751,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1752,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1754,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
1755,Crest Canyon Os Park,Crest Canyon Open Space Park,Open Space, ,92130
1758,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1759,Otay Valley Regional Park,Otay Valley Regional Park,Open Space, ,92173
1760,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1761,Marian Bear Os Park,Marian Bear Open Space Park,Open Space, ,92117
1766,La Zanja Canyon Os,La Zanja Canyon Open Space,Open Space, ,92091
1767,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1770,San Pasqual Trails Os,San Pasqual Trails Open Space,Open Space, ,92025
1771,Shaw Valley Os,Shaw Valley Open Space,Open Space, ,92130
1772,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1773,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1774,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1775,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1776,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1777,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1778,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1779,Mcgonigle Canyon Os,Mcgonigle Canyon Open Space,Open Space, ,92130
1782,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1785,Carmel Mountain Os,Carmel Mountain Open Space,Open Space, ,92128
1786,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1787,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1788,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1789,Tecolote Canyon Natural Os Park,Tecolote Canyon Natural Open Space Park,Open Space, ,92110
1790,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
1791,Del Mar Mesa Os,Del Mar Mesa Open Space,Open Space, ,92130
1793,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1794,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1795,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1796,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1797,Scripps Miramar Os,Scripps Miramar Open Space,Open Space, ,92126
1798,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1799,Mission Valley Preserve,Mission Valley Preserve,Open Space, ,92110
1800,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1801,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1802,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1803,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1804,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1807,Sandrock Canyon Os Park,Sandrock Canyon Open Space Park,Open Space, ,92123
1808,Famosa Slough,Famosa Slough,Open Space, ,92107
1810,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1811,Canyon Hills Os,Canyon Hills Open Space,Open Space, ,92126
1812,Eugene Place Os,Eugene Place Open Space,Open Space, ,92116
1813,Marian Bear Os Park,Marian Bear Open Space Park,Open Space, ,92117
1815,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1827,Mission Trails Os,Mission Trails Open Space,Open Space, ,92120
1829,Navajo Canyon Os Park,Navajo Canyon Open Space Park,Open Space, ,92120
1830,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1831,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1832,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1833,Tierrasanta Os,Tierrasanta Open Space,Open Space, ,92124
1834,Battle Mountain Os,Battle Mountain Open Space,Open Space, ,92128
